M2 attention-driven goal-directed acceptance
PASS 32/32; FAIL 0
base=live-AH-snapshot; AH=153682 UIDs; stress padding=149998
Workspace initial=0; final=384
elapsed=5.012s

Cold Workspace is a purity control only. Runtime correctness does not require it.
Every proof proposition is focused through QUERY_RECALL + a normal Ignition tick.

[PASS] cause_alpha CAUSE depth=1 => PROVED/GOAL_SATISFIED, logical_depth=1, workspace=0->2, path_cold=True, x_changed=True, tail_inactive=True, 39.45ms
[PASS] cause_alpha CAUSE depth=2 => PROVED/GOAL_SATISFIED, logical_depth=2, workspace=2->6, path_cold=True, x_changed=True, tail_inactive=True, 52.16ms
[PASS] cause_alpha CAUSE depth=3 => PROVED/GOAL_SATISFIED, logical_depth=3, workspace=6->11, path_cold=True, x_changed=True, tail_inactive=True, 73.48ms
[PASS] cause_alpha CAUSE depth=4 => PROVED/GOAL_SATISFIED, logical_depth=4, workspace=11->16, path_cold=True, x_changed=True, tail_inactive=True, 88.65ms
[PASS] cause_alpha CAUSE depth=5 => PROVED/GOAL_SATISFIED, logical_depth=5, workspace=16->21, path_cold=True, x_changed=True, tail_inactive=True, 119.20ms
[PASS] cause_alpha CAUSE depth=6 => PROVED/GOAL_SATISFIED, logical_depth=6, workspace=21->28, path_cold=True, x_changed=True, tail_inactive=True, 128.44ms
[PASS] cause_beta CAUSE depth=1 => PROVED/GOAL_SATISFIED, logical_depth=1, workspace=28->31, path_cold=True, x_changed=True, tail_inactive=True, 40.66ms
[PASS] cause_beta CAUSE depth=2 => PROVED/GOAL_SATISFIED, logical_depth=2, workspace=31->34, path_cold=True, x_changed=True, tail_inactive=True, 54.54ms
[PASS] cause_beta CAUSE depth=3 => PROVED/GOAL_SATISFIED, logical_depth=3, workspace=34->39, path_cold=True, x_changed=True, tail_inactive=True, 72.64ms
[PASS] cause_beta CAUSE depth=4 => PROVED/GOAL_SATISFIED, logical_depth=4, workspace=39->43, path_cold=True, x_changed=True, tail_inactive=True, 91.09ms
[PASS] cause_beta CAUSE depth=5 => PROVED/GOAL_SATISFIED, logical_depth=5, workspace=43->48, path_cold=True, x_changed=True, tail_inactive=True, 115.24ms
[PASS] cause_beta CAUSE depth=6 => PROVED/GOAL_SATISFIED, logical_depth=6, workspace=48->55, path_cold=True, x_changed=True, tail_inactive=True, 144.01ms
[PASS] follow_episode FOLLOW depth=1 => PROVED/GOAL_SATISFIED, logical_depth=1, workspace=55->58, path_cold=True, x_changed=True, tail_inactive=True, 45.77ms
[PASS] follow_episode FOLLOW depth=2 => PROVED/GOAL_SATISFIED, logical_depth=2, workspace=58->61, path_cold=True, x_changed=True, tail_inactive=True, 60.18ms
[PASS] follow_episode FOLLOW depth=3 => PROVED/GOAL_SATISFIED, logical_depth=3, workspace=61->66, path_cold=True, x_changed=True, tail_inactive=True, 82.20ms
[PASS] follow_episode FOLLOW depth=4 => PROVED/GOAL_SATISFIED, logical_depth=4, workspace=66->70, path_cold=True, x_changed=True, tail_inactive=True, 102.91ms
[PASS] follow_episode FOLLOW depth=5 => PROVED/GOAL_SATISFIED, logical_depth=5, workspace=70->75, path_cold=True, x_changed=True, tail_inactive=True, 137.47ms
[PASS] follow_episode FOLLOW depth=6 => PROVED/GOAL_SATISFIED, logical_depth=6, workspace=75->82, path_cold=True, x_changed=True, tail_inactive=True, 171.69ms
